date,open_USD,high_USD,low_USD,close_USD,volume
25-06-2019,11056.59,11850,11026,11820.86,61276
24-06-2019,10905.95,11143.63,10620.8,11056.59,43101
23-06-2019,10729,11392.64,10555.18,10906.07,57445
22-06-2019,10159.86,11160,9921.72,10729.5,104169
21-06-2019,9518.06,10174.99,9518.06,10159.86,50484
20-06-2019,9253.76,9590,9175.2,9517.12,34556
19-06-2019,9081.97,9304,8960,9255.49,32147
18-06-2019,9312.13,9336.36,8950,9081.55,51554
17-06-2019,8953,9444,8950,9313.96,47895
16-06-2019,8810.77,9333,8760,8953.33,63289
15-06-2019,8650.88,8864.99,8567.63,8808.7,31791
14-06-2019,8216.44,8684.41,8144.32,8650,39835
13-06-2019,8127.64,8309.82,8010.03,8218.54,30467
12-06-2019,7884.9,8200,7788.99,8127.64,41597
11-06-2019,7981,8010,7692.23,7884.9,30334
10-06-2019,7627.57,8020,7511,7982.75,36756
09-06-2019,7895.28,7935,7506.66,7628.13,31568
08-06-2019,7978.94,8044.65,7751,7893.62,22657
07-06-2019,7787.57,8100,7737.49,7980.53,33942
06-06-2019,7778.08,7868.13,7444.58,7786.7,36624
05-06-2019,7687.04,7896.7,7572.78,7776.5,48679
04-06-2019,8115.66,8115.66,7481.02,7687.03,74143
03-06-2019,8726,8800.95,8080.8,8115.82,45692
02-06-2019,8545.1,8814.78,8524,8725.98,27835
01-06-2019,8555,8626,8442.36,8544.07,31868
31-05-2019,8267.1,8594,8108.5,8555,44727
30-05-2019,8646.5,9074.26,8005,8269.54,70379
29-05-2019,8716.87,8750,8406.6,8645.68,33880
28-05-2019,8752.52,8798.49,8510.63,8715.64,31470
27-05-2019,8612.54,8908.32,8589,8756.32,51886
26-05-2019,8023,8740,7833.42,8614.43,49652
25-05-2019,7964.52,8091.8,7908.34,8025.41,28414
24-05-2019,7849.95,8130,7766,7964.87,46664
23-05-2019,7627.8,7940.98,7461,7851.51,49648
22-05-2019,7904.48,8016,7465,7628.43,49136
21-05-2019,7937.16,8042.32,7771,7904.87,52301
20-05-2019,8147.94,8156.03,7553,7938.15,65859
19-05-2019,7257.32,8275.09,7243.08,8148.48,65577
18-05-2019,7355.28,7458,7156.61,7257.45,37054
17-05-2019,7868.67,7925,6913,7355.26,88752
16-05-2019,8169.08,8320,7705,7866.59,69630
15-05-2019,7945.26,8249,7850,8169.87,37884
14-05-2019,7795.62,8366,7599.56,7947.56,76583
13-05-2019,6968.24,8100,6870,7790.71,85804
12-05-2019,7076.24,7521.78,6750,6967.31,86948
11-05-2019,6375.16,7343.99,6372.85,7076.22,74022
10-05-2019,6209.95,6468.92,6172,6373.33,36623
09-05-2019,5986.66,6224.55,5983.71,6209.18,27453
08-05-2019,5846.34,6014.72,5772.2,5987.29,23074
07-05-2019,5749.92,6028.41,5747.74,5846.34,39905
06-05-2019,5773.18,5805,5619.14,5747.79,25256
05-05-2019,5829.83,5839.9,5696,5775.62,23822
04-05-2019,5770.62,5900,5587.45,5829.45,39682
03-05-2019,5494.81,5844,5477.57,5772.69,46297
02-05-2019,5383.2,5538,5370,5492.87,22795
01-05-2019,5321.94,5402,5316.2,5383.2,17217
30-04-2019,5238.14,5339.98,5192.15,5320.81,22238
29-04-2019,5309.81,5332,5178.8,5238.14,19918
28-04-2019,5295.69,5340,5259.48,5307.52,14371
27-04-2019,5315,5342.5,5257.67,5295.69,15422
26-04-2019,5220.47,5510,5161.62,5314.1,48912
25-04-2019,5415,5491.84,5102,5219.9,49636
24-04-2019,5490.91,5582.2,5333.35,5415,48224
23-04-2019,5357.14,5600,5332.41,5493.31,41262
22-04-2019,5257.41,5400,5208.35,5357.14,29563
21-04-2019,5292.91,5314.35,5165,5256.14,25549
20-04-2019,5258.68,5333.42,5230.1,5291.73,19168
19-04-2019,5258.44,5320,5175,5258.68,24611
18-04-2019,5202.41,5287,5198.8,5258.44,22619
17-04-2019,5173.72,5230.4,5146.8,5202.82,23307
16-04-2019,5024.95,5197.72,5003.94,5173.72,24242
15-04-2019,5131.28,5167.38,4950,5024.95,29057
14-04-2019,5047.45,5152.99,5000,5131.3,18281
13-04-2019,5047,5099,5004,5045.22,17292
12-04-2019,5017.37,5080.58,4861.22,5048.01,33276
11-04-2019,5307.86,5332.67,4927,5017.37,54696
